Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,3:25:27,0.02
12/3/2022,3:25:28,0.023
12/3/2022,3:25:29,0.02
12/3/2022,3:25:30,0.022
12/3/2022,3:25:31,0.027
12/3/2022,3:25:32,0.038
12/3/2022,3:25:33,0.06
12/3/2022,3:25:34,0.041
12/3/2022,3:25:35,0.054
12/3/2022,3:25:36,0.049
12/3/2022,3:25:37,0.046
12/3/2022,3:25:38,0.045
12/3/2022,3:25:39,0.042
12/3/2022,3:25:40,0.057
12/3/2022,3:25:41,0.066
12/3/2022,3:25:42,0.051
12/3/2022,3:25:43,0.042
12/3/2022,3:25:44,0.039
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,4:24:45,0.04
12/3/2022,4:24:46,0.044
12/3/2022,4:24:47,0.043
12/3/2022,4:24:48,0.036
12/3/2022,4:24:49,0.041
12/3/2022,4:24:50,0.039
12/3/2022,4:24:51,0.034
12/3/2022,4:24:52,0.035
12/3/2022,4:24:53,0.038
12/3/2022,4:24:54,0.039
12/3/2022,4:24:55,0.03
12/3/2022,4:24:56,0.053
12/3/2022,4:24:57,0.031
12/3/2022,4:24:58,0.032
12/3/2022,4:24:59,0.04
12/3/2022,4:25:00,0.025
12/3/2022,4:25:01,0.025
12/3/2022,4:25:02,0.027
12/3/2022,4:25:03,0.025
12/3/2022,4:25:04,0.023
12/3/2022,4:25:05,0.023
12/3/2022,4:25:06,0.014
12/3/2022,4:25:07,0.016
12/3/2022,4:25:08,0.02
12/3/2022,4:25:09,0.023
12/3/2022,4:25:10,0.012
12/3/2022,4:25:11,0.022
12/3/2022,4:25:12,0.017
12/3/2022,4:25:13,0.015
12/3/2022,4:25:14,0.02
12/3/2022,4:25:15,0.026
12/3/2022,4:25:16,0.016
12/3/2022,4:25:17,0.022
12/3/2022,4:25:18,0.014
12/3/2022,4:25:19,0.017
12/3/2022,4:25:20,0.018
12/3/2022,4:25:21,0.021
12/3/2022,4:25:22,0.017
12/3/2022,4:25:23,0.011
12/3/2022,4:25:24,0.012
12/3/2022,4:25:25,0.018
12/3/2022,4:25:26,0.021
12/3/2022,4:25:27,0.025
12/3/2022,4:25:28,0.044
12/3/2022,4:25:29,0.025
12/3/2022,4:25:30,0.02
12/3/2022,4:25:31,0.037
12/3/2022,4:25:32,0.018
12/3/2022,4:25:33,0.059
12/3/2022,4:25:34,0.014
12/3/2022,4:25:35,0.034
12/3/2022,4:25:36,0.052
12/3/2022,4:25:37,0.02
12/3/2022,4:25:38,0.013
12/3/2022,4:25:39,0.016
12/3/2022,4:25:40,0.022
12/3/2022,4:25:41,0.022
12/3/2022,4:25:42,0.019
12/3/2022,4:25:43,0.027
12/3/2022,4:25:44,0.012
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,5:24:45,0.021
12/3/2022,5:24:46,0.013
12/3/2022,5:24:47,0.02
12/3/2022,5:24:48,0.022
