TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,06/11/2021
Start Time:,11:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.121
,Minimum:,0.104
,Time of Minimum:,11:42:42
,Date of Minimum:,06/11/2021
,Maximum:,0.149
,Time of Maximum:,11:42:52
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
06/11/2021,17:42:23,0.07
06/11/2021,17:42:24,0.066
06/11/2021,17:42:25,0.077
06/11/2021,17:42:26,0.065
06/11/2021,17:42:27,0.067
06/11/2021,17:42:28,0.074
06/11/2021,17:42:29,0.071
06/11/2021,17:42:30,0.06
06/11/2021,17:42:31,0.082
06/11/2021,17:42:32,0.066
06/11/2021,17:42:33,0.056
06/11/2021,17:42:34,0.066
06/11/2021,17:42:35,0.071
06/11/2021,17:42:36,0.059
06/11/2021,17:42:37,0.06
06/11/2021,17:42:38,0.064
06/11/2021,17:42:39,0.066
06/11/2021,17:42:40,0.066
06/11/2021,17:42:41,0.074
06/11/2021,17:42:42,0.079
06/11/2021,17:42:43,0.065
06/11/2021,17:42:44,0.067
06/11/2021,17:42:45,0.056
06/11/2021,17:42:46,0.064
06/11/2021,17:42:47,0.067
06/11/2021,17:42:48,0.053
06/11/2021,17:42:49,0.059
06/11/2021,17:42:50,0.067
06/11/2021,17:42:51,0.059
06/11/2021,17:42:52,0.067
06/11/2021,17:42:53,0.074
06/11/2021,17:42:54,0.064

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 8
Start Date:,06/11/2021
Start Time:,06:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.178
,Minimum:,0.149
,Time of Minimum:,06:42:31
,Date of Minimum:,06/11/2021
,Maximum:,0.225
,Time of Maximum:,06:42:18
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,18:41:55,0.182
06/11/2021,18:41:56,0.179
06/11/2021,18:41:57,0.207
06/11/2021,18:41:58,0.206
06/11/2021,18:41:59,0.188
06/11/2021,18:42:00,0.179
06/11/2021,18:42:01,0.209
06/11/2021,18:42:02,0.197
06/11/2021,18:42:03,0.207
06/11/2021,18:42:04,0.2
06/11/2021,18:42:05,0.183
06/11/2021,18:42:06,0.208
06/11/2021,18:42:07,0.168
06/11/2021,18:42:08,0.167
06/11/2021,18:42:09,0.161
06/11/2021,18:42:10,0.164
06/11/2021,18:42:11,0.175
06/11/2021,18:42:12,0.174
06/11/2021,18:42:13,0.156
06/11/2021,18:42:14,0.178
06/11/2021,18:42:15,0.165
06/11/2021,18:42:16,0.165
06/11/2021,18:42:17,0.191
06/11/2021,18:42:18,0.225
06/11/2021,18:42:19,0.156
06/11/2021,18:42:20,0.172
06/11/2021,18:42:21,0.174
06/11/2021,18:42:22,0.19
06/11/2021,18:42:23,0.184
06/11/2021,18:42:24,0.17
06/11/2021,18:42:25,0.193
06/11/2021,18:42:26,0.176
06/11/2021,18:42:27,0.164
06/11/2021,18:42:28,0.175
06/11/2021,18:42:29,0.191
06/11/2021,18:42:30,0.165
06/11/2021,18:42:31,0.149
06/11/2021,18:42:32,0.154
06/11/2021,18:42:33,0.163
06/11/2021,18:42:34,0.158
06/11/2021,18:42:35,0.179
06/11/2021,18:42:36,0.181
06/11/2021,18:42:37,0.18
06/11/2021,18:42:38,0.18
06/11/2021,18:42:39,0.173
06/11/2021,18:42:40,0.166
06/11/2021,18:42:41,0.163
06/11/2021,18:42:42,0.21
06/11/2021,18:42:43,0.171
06/11/2021,18:42:44,0.182
06/11/2021,18:42:45,0.164
06/11/2021,18:42:46,0.159
06/11/2021,18:42:47,0.162
06/11/2021,18:42:48,0.165
06/11/2021,18:42:49,0.162
06/11/2021,18:42:50,0.186
06/11/2021,18:42:51,0.174
06/11/2021,18:42:52,0.188
06/11/2021,18:42:53,0.192
06/11/2021,18:42:54,0.172

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 9
Start Date:,06/11/2021
Start Time:,07:41:55
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.277
,Minimum:,0.241
,Time of Minimum:,07:42:47
,Date of Minimum:,06/11/2021
,Maximum:,0.332
,Time of Maximum:,07:42:16
